,maps_taps,travel_taps,productivity_taps,personalisation_taps,tools_taps,communication_taps,news_magazines_taps,social_taps,shopping_taps,video_players_taps,finance_taps,weather_taps,photography_taps,entertainement_taps,sport_taps,lifestyle_taps,music_audio_taps,game_taps,education_taps,business_taps,health_fitness_taps,food_drink_taps,books_reference_taps,Median_Distances
38,191,82,83,0,62,1938,280,877,0,20,1,31,154,0,0,7,225,3187,0,0,10,404,2,91.2475
39,97,684,816,0,599,4604,10,12701,0,559,40,3,12,32,0,0,25,1267,3,0,261,18,0,94.97049999999999
40,628,577,213,0,129,5554,31,927,117,14,9,166,177,82,0,0,0,9241,0,131,138,16,27,97.7185
41,162,236,77,0,39,3103,76,882,153,2,0,37,246,57,0,0,4,4368,0,60,0,69,3,100.1865
42,575,485,242,0,24,2647,17,435,0,0,0,66,246,20,46,0,0,1257,0,0,90,83,9,102.87950000000001
43,148,507,106,0,5,1027,50,229,16,0,0,142,32,60,0,0,0,724,0,0,6,0,1,105.30449999999999
44,1334,1700,2279,0,415,46537,564,47185,1327,4947,199,928,1070,634,0,6,150,116080,117,1474,1189,1314,1077,107.47399999999999
45,753,1122,231,0,143,5062,582,448,13,0,0,148,24,0,0,1,0,87,3,8,11,3,0,109.928
46,330,562,237,0,102,2699,48,2,14,0,5,73,152,0,10,0,20,110,35,0,0,0,21,112.955
47,386,777,537,0,477,8943,27,5867,575,0,7,260,240,18,21,0,10,14866,0,214,54,554,1,116.4065
48,285,961,576,0,619,10387,265,3861,0,212,75,63,252,0,436,5953,343,381,0,479,60,451,10,119.787
49,194,609,515,0,346,5390,13,2875,31,402,291,7,652,1,298,13172,427,395,26,290,47,419,0,122.277
50,1572,1040,672,0,1073,18149,1429,1510,3,138,0,188,1804,0,569,8255,727,0,82,658,72,1231,0,123.81800000000001
51,817,1363,1461,0,1629,20515,2434,3703,0,462,0,177,361,0,933,2097,296,45,103,255,78,921,10,125.09100000000001
52,1630,1984,2009,0,1810,23971,3032,11329,79,3527,209,366,656,0,1519,1458,52,0,281,348,267,956,16,126.285
53,1298,1258,1618,0,1154,15326,3042,112,0,30,185,265,416,0,825,11,0,0,31,226,212,1002,2,127.38149999999999
54,2175,1727,3242,2,2057,24617,8512,256,0,189,63,357,851,0,2166,0,9,829,96,1417,176,1465,112,128.49699999999999
55,5909,2855,3399,9,7891,81581,13431,5068,194,22189,247,1942,6682,54,9452,1270,443,11167,518,822,128,3241,70,129.8075
56,783,1947,617,6,2620,15954,2607,192,29,183,186,376,751,7,713,0,6,0,169,176,19,1046,0,131.264
57,272,777,512,0,567,3427,579,233,0,329,3,371,226,0,337,0,0,0,13,112,9,150,0,132.751
58,656,357,220,0,342,5516,1252,2903,0,0,7,276,827,3,45,0,119,43674,4,43,17,248,0,134.3655
59,96,268,2459,0,114,1613,85,2261,0,88,0,35,109,0,182,0,6,0,0,11,2,0,0,136.0045
60,183,335,4815,0,60,1464,0,26,0,283,0,75,380,0,9,0,0,567,0,204,0,0,0,138.25549999999998
